protection,BC,CE,CC,CJ,CR,DL,DC,DS,DV,CH,LB,LM,LV,MU,MS,MH,OM,OV,PA,PP,PSD,SS,SO,SAT,SC,SAU,SPOC,SY,TL,ADS,TS,NTS,TSabove,TSabove2,TSbelow,DSabove,DVabove,MUabove,otherTSabove2,DSbelow,DVbelow,OVbelow,otherTSbelow
N,0.0,20.5,0.0,178.8,39.0,0.0,407.3,389.6,297.8,0.0,238.2,0.0,0.0,0.0,351.7,0.0,0.0,0.0,0.0,0.0,0.0,6114.6,0.0,0.0,176.8,0.0,0.0,0.0,0.0,2099.8,1446.5,653.2,1404.5,1404.5,42.0,389.6,255.8,0.0,759.1,0.0,42.0,0.0,0.0
N,0.0,205.5,414.0,343.2,0.0,0.0,0.0,1159.6,127.3,25.4,0.0,0.0,0.0,3206.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3,0.0,81.9,275.8,0.0,0.0,0.0,0.0,5838.7,4907.0,931.7,4745.2,4745.2,161.8,1125.1,0.0,3206.2,414.0,34.6,127.3,0.0,0.0
N,0.0,9.9,0.0,501.0,15.8,0.0,54.0,149.6,0.0,0.0,406.9,0.0,22.4,0.0,0.0,288.8,0.0,230.4,0.0,0.0,0.0,228.9,0.0,177.3,136.3,0.0,0.0,0.0,0.0,1992.4,745.2,1247.3,81.3,370.1,375.1,81.3,0.0,0.0,288.8,68.3,0.0,230.4,76.4
N,0.0,69.2,0.0,297.5,0.0,0.0,0.0,375.1,21.8,0.0,0.0,0.0,0.0,1211.3,0.0,0.0,0.0,175.6,0.0,0.0,0.0,410.7,0.0,0.0,89.8,0.0,0.0,92.0,0.0,2332.2,1783.8,548.4,1288.9,1288.9,494.9,77.7,0.0,1211.3,0.0,297.5,21.8,175.6,0.0
N,0.0,53.2,0.0,750.2,17.4,0.0,97.0,932.4,98.9,0.0,916.3,0.0,0.0,1835.0,0.0,0.0,0.0,1064.6,0.0,0.0,0.0,183.3,0.0,0.0,121.5,0.0,0.0,0.0,0.0,5886.4,4027.8,1858.6,3928.9,3928.9,98.9,932.4,0.0,1835.0,1161.5,0.0,98.9,0.0,0.0
N,0.0,0.0,0.0,335.5,0.0,136.9,0.0,0.0,37.7,0.0,441.2,0.0,0.0,364.5,199.4,0.0,0.0,0.0,1331.6,0.0,0.0,0.0,0.0,0.0,119.2,0.0,0.0,0.0,0.0,2966.0,2070.2,895.8,1895.6,1895.6,174.6,0.0,0.0,364.5,1531.1,0.0,37.7,0.0,136.9
N,0.0,0.0,0.0,90.6,27.1,0.0,0.0,0.0,192.9,0.0,352.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,863.6,192.9,670.7,117.2,117.2,75.7,0.0,117.2,0.0,0.0,0.0,75.7,0.0,0.0
N,0.0,26.1,0.0,383.4,0.0,0.0,0.0,528.9,132.9,0.0,0.0,0.0,0.0,2972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.1,0.0,0.0,0.0,0.0,4135.5,3633.8,501.7,3587.1,3587.1,46.7,528.9,86.3,2972.0,0.0,0.0,46.7,0.0,0.0
N,0.0,0.0,0.0,317.6,0.0,0.0,0.0,154.9,339.0,0.0,162.0,0.0,0.0,1188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.7,0.0,0.0,0.0,0.0,2391.3,1681.9,709.4,1629.0,1629.0,53.0,154.9,286.0,1188.0,0.0,0.0,53.0,0.0,0.0
N,0.0,0.0,0.0,167.0,10.7,0.0,0.0,0.0,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.7,0.0,27.7,0.0,0.0,0.0,0.0,666.6,461.3,205.4,441.1,441.1,20.2,0.0,85.3,0.0,355.7,0.0,20.2,0.0,0.0
